Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,172.91366194095926,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,173.46148567431754,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,174.00953166244017,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,174.44392251202638,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,174.9900660381975,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,175.53983036633787,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,176.0797607978085,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,176.62350582703584,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,177.16655434009232,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,177.59484572388888,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,178.13620287263095,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,178.6770075757635,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,179.21631193176165,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,179.75643665609158,1
